Dataset,Code,Project,sha,owner,project,sha-p,sha-reg,sha-reg-p,reg
VULAS,CVE-2014-0094,https://github.com/apache/struts,74e26830d2849a84729b33497f729e0f033dc147,apache,struts,a4f8d492144a62af2a7d5e934e62d737bdfc8058,50002a9007f7952d0dd8c5a84402c7c1c147ee38,9141c01235a2f9d96835cc4c11cadebbabb221d9,FOUND
VULAS,CVE-2014-0095,https://github.com/apache/tomcat,8884dae60ace77a87ed9385442ce429e98c3a479,apache,tomcat,f646a5acd5e32d6f5a2d9bf1d94ca66b65477675,b1faf574dbee109c1dc7f565b1046da4c429738a,480dc7ff0d9afca9b4a0340d6627c196bc9946ed,FOUND
VULAS,CVE-2014-0107,https://github.com/apache/xalan-j,cbfd906cc5a1f1566fa1a98400c82e56077fae0c,apache,xalan-j,c1c7e11cd3440a6ca76d30b7e05f6893c5e5d747,9f5d55a001de00dd12d79acb988020beb621566f,3d993da92429bf0ff235bbd5efc35304386bf229,FOUND
VULAS,CVE-2014-0109,https://github.com/apache/cxf,f8ed98e684c1a67a77ae8726db05a04a4978a445,apache,cxf,3158ccb445fbec6ca408c22b4e32ab054ab792b4,2679bcc28f82a782b8a49053f490cf9bb6124184,6ab4f892c495b6d5c319363e02e307b6ecd47e93,FOUND
VULAS,CVE-2014-0110,https://github.com/apache/cxf,8f4799b5bc5ed0fe62d6e018c45d960e3652373e,apache,cxf,57d1e47f9559475c0e95a6adeb56da47f19c02ed,8604c5c1092daf1562810ef2ac83eaf7537b63e2,3d3e99d4efe2185b8dc156bf65892c3aa8707133,FOUND
VULAS,CVE-2014-1972,https://github.com/apache/tapestry-5,95846b173d83c2eb42db75dae3e7d5e13a633946,apache,tapestry-5,9001a1e3c2642c51550def85cde24cc31f96248e,13a1856b8e5f646dab808ce1df956cbba68abb6e,27084783a3838f52305b1749ec50f0d0439cf270,FOUND
VULAS,CVE-2014-3576,https://github.com/apache/activemq,00921f22ff9a8792d7663ef8fadd4823402a6324,apache,activemq,9a6d444e0a492231ad1f4833448b3bbacd839bce,5abd2d231abfe076a54981d5bf4fb4f71d47f183,455f1ca475be252b6ffdd07176bf659b81685ea7,FOUND
VULAS,CVE-2014-3577,https://github.com/apache/httpcomponents-client,51cc67567765d67f878f0dcef61b5ded454d3122,apache,httpcomponents-client,8513c0dd3ef4a8ea889a1f7b527f7c52cfa4da5f,0ae68981c8b2a5a5f5b9f4a6c9a4dcf11d4833fe,e16a59b38ca3bbdedd75d3a8a527d2f634517d9f,FOUND
VULAS,CVE-2014-3579,https://github.com/apache/activemq-apollo,e5647554e6801a522c508a8eb457979a9af8c398,apache,activemq-apollo,e29cfd509d8c5f871b140b1392797f7f39568cd1,c5a9c3b005e7f63917046ecd4e0683a820ab40a6,65aaf006f8761be512297c8dc5a376001f6a1ad5,FOUND
VULAS,CVE-2014-3584,https://github.com/apache/cxf,0b3894f57388b9955f2c33b2295223f2835cd7b3,apache,cxf,11bccec4f48f65f36907cd04230b1b751a34d0e1,e1c4e86add991857328854db0f02ad21eefc58e4,a3936f02652fbb4c64fce2d5e5b3b4c4de42c3c4,FOUND
