,owner_sec,project_sec,sha_sec,sha-p_sec,main(sha)_sec,main(sha-p)_sec,main(diff)_sec,owner_reg,project_reg,sha_reg,sha-p_reg,main(sha)_reg,main(sha-p)_reg,main(diff)_reg,pattern,language
71,MPOS,php-mpos,8756036646952355091faec922b40e54b6657996,e5c97201741671a45bae2334eec49739c7495f59,-15592.296219964757,-15520.810392202926,-71.48582776183139,MPOS,php-mpos,7b41a75f921237fa3eb4f5d8413349e4d98b373c,e5c97201741671a45bae2334eec49739c7495f59,-15888.300028852598,-15520.810392202926,-367.4896366496723,csrf,php
72,php,php-src,cea050b8da98e0335fb24919814603e7c130ae82,5d07438cb3d72b7d6d3675cdccf5eef361e6e591,-250546.15992644062,-108019.33938656232,-142526.8205398783,php,php-src,c0b49a701a74f9be1f99f79c4334d4aecdf1f1c6,5d07438cb3d72b7d6d3675cdccf5eef361e6e591,-4310336.938356739,-108019.33938656232,-4202317.598970177,misc,c
73,nextcloud,server,370123b8b0b7adc21429b991f06e2c5052a54795,e5d78a35231d1412aa7427f061aacdf73d92a796,-63241.77609715085,-56817.30824753382,-6424.467849617024,nextcloud,server,df0e72d8d9485a08d6d60261538d9d5a63aa266e,e5d78a35231d1412aa7427f061aacdf73d92a796,-456802.7193841792,-56817.30824753382,-399985.4111366454,csrf,php
74,josh,rails,eb5033ad6b4a12a32e1493fb5b9aeee9eb75f10e,0ee1cb2cd32bfaf47deaf5440dd5b9cf0915ab6a,7621.202993952468,7617.3430067340305,3.859987218437709,josh,rails,e3623bd9ed71e289078cefad4204f38d2fdf9188,0ee1cb2cd32bfaf47deaf5440dd5b9cf0915ab6a,6899.3491354741445,7617.3430067340305,-717.993871259886,auth,ruby
75,realm,realm-cocoa,37c6d421472bb89d0711b99cabaada1e9976bb0f,9a623ef0e43e8f0bcd829393e1737f4b6de82e71,-1046.6868438805166,-1046.9401782341688,0.2533343536522352,realm,realm-cocoa,67e396d5511604a8b2793ad9a314db5e1cbd6d73,9a623ef0e43e8f0bcd829393e1737f4b6de82e71,-1334.54785114533,-1046.9401782341688,-287.6076729111612,ml,objc++
76,naver,pinpoint,d68184cf5c29ffbe76b1fa2b1bce30ec18e85b87,a3911e078b58ed029c7944a5e65e1daa050fa2e0,-23290.660654214058,-23290.660654214058,0.0,naver,pinpoint,83f4e1dc9b870635f5286f66223c340ac3028a12,a3911e078b58ed029c7944a5e65e1daa050fa2e0,-2771.000203676249,-23290.660654214058,20519.66045053781,ucwkv,others
78,curl,curl,1238edaeaf947b896aafd9ddffc8430dea179c3a,a9cd4f4ed49e1a0b79f8fc6a0cb129331fa04f23,-41222.56070523899,-41222.28767828254,-0.27302695644902997,curl,curl,07b9826541ec429433495d237301d59a5d8bfd22,a9cd4f4ed49e1a0b79f8fc6a0cb129331fa04f23,-74733.40981761966,-41222.28767828254,-33511.122139337116,ml,c
79,curl,curl,c62d7944cf75f402d45523e3e415e44e83f5d733,716302c2cd59f96ecd96f949db92576d204cabae,-61022.86182072777,-61026.43979455834,3.577973830571864,curl,curl,7e46061cac2ba460c337d9ec89e06c32a5e97d99,716302c2cd59f96ecd96f949db92576d204cabae,-40802.34433741004,-61026.43979455834,20224.0954571483,rl,c
80,josh,rails,24d244c1bc1a744de599df18d74c9b343fd4c9fe,d3bbb23b2fdc6f597410e83e604d4919174aaa27,14649.557193421953,14649.557193421953,0.0,josh,rails,817e37013610c8e8866197594d5e408b4d5daec5,d3bbb23b2fdc6f597410e83e604d4919174aaa27,11433.317680186166,14649.557193421953,-3216.239513235787,ucwkv,ruby
81,scalikejdbc,scalikejdbc,2197ff982e507355dba55883be2195d654bfbb2d,0066d580d8ab21d252310bd0206fa62effa6137b,863.8871078863289,861.2025089004176,2.6845989859112933,scalikejdbc,scalikejdbc,ea6ff980300f18f1fefa36307652fecd5b65f2dc,0066d580d8ab21d252310bd0206fa62effa6137b,897.3855142840144,861.2025089004176,36.18300538359688,injec,scala
